Categoria	Subcategoria	Tema
Razonamiento formal		Modelado y formalización de problemas
Razonamiento formal		Razonamiento ecuacional sobre programas
Razonamiento formal		Razonamiento axiomático sobre programas (lógica de Hoare)
Técnicas de resolución		Generalización y reducción
Técnicas de resolución		Invariantes
Técnicas de resolución		Monotonía
Técnicas de resolución		Análisis de elementos especiales (e.g. analizar máximos y mínimos)
Técnicas de resolución		Coloreos (e.g. cubrir un tablero de ajedrez sin esquinas con piezas de dominó)
Técnicas de resolución		Principio del palomar (e.g. mayor hueco de menor a mayor en O(N))
Técnicas de resolución		"Inversión del problema (""mirar para atras"", e.g. perros de OIA 2019)"
Técnicas de resolución		Separación en componentes independientes
Grafos		Nociones elementales y definiciones de teoria de grafos
Grafos		Circuito euleriano, teorema de existencia <=>, algoritmos para construirlo
Grafos		Circuito hamiltoniano (NP completo en general), teoremas de Ore / Dirac
Grafos		Representación de grafos en memoria
Grafos		Matriz de Adyacencia
Grafos		Matriz de Incidencia
Grafos		Listas de Adyacencia
Grafos		Lista de incidencia
Grafos		Grafo Implícito
Grafos	BFS	Basico.
Grafos	BFS	BFS con cola de dos puntas [Aristas 0 y 1]
Grafos	BFS	BFS con K+1 bolsas [aristas 0..K]
Grafos	DFS	Con stack
Grafos	DFS	Recursivo
Grafos	DFS	Back Edges
Grafos	DFS	Tree Edges
Grafos	DFS	Forward Edges
Grafos	DFS	Cross Edges
Grafos	Dijkstra	En N^2
Grafos	Dijkstra	En (N + M) lg N
Grafos	Dijkstra	Distancia Min-Max (Prim)
Grafos	Bellman-Ford	Vision como programacion dinamica.
Grafos	Bellman-Ford	Implementacion tipica.
Grafos	Bellman-Ford	Variante para contar caminos entre pares de nodos.
Grafos	Bellman-Ford	Deteccion y tratamiento de ciclos negativos
Grafos	Floyd-Warshall	Vision como programacion dinamica.
Grafos	Floyd-Warshall	Implementacion tipica.
Grafos	Floyd-Warshall	Variante para contar caminos entre pares de nodos.
Grafos	Floyd-Warshall	Producto de matrices de adyacencia / Potencias de la matriz de adyacencia.
Grafos	Floyd-Warshall	Deteccion y tratamiento de ciclos negativos
Grafos	Reconstruir caminos	Guardando padres
Grafos	Reconstruir caminos	Chequeando la cuentita de la DP
Grafos	Kruskal	Descripción e implementación, con referencia a Union-Find
Grafos	Kruskal	Relación del Minimum Spanning Tree con la distancia Min-Max.
Grafos	Kruskal	Aplicación a calcular la distancia min-max todos contra todos en N^2
Grafos	Kruskal	Solución alternativa para el mismo problema: hacerlo en el mismo Kruskal que calcula el MST
Grafos	Flujo y derivados	Matching Maximo Bipartito O(VE)
Grafos	Flujo y derivados	Flujo Maximo / Corte Minimo
Grafos	Flujo y derivados	Edmonds-Karp
Grafos	Flujo y derivados	Dinitz
Grafos	Flujo y derivados	Algoritmos de Preflow-Push
Grafos	Flujo y derivados	Manejo, entendimiento y manipulación de la red residual de un grafo.
Grafos	Flujo y derivados	Teoremas de König, Hall y Menger.
Grafos	Flujo y derivados	Mínimo Cubrimiento por Caminos. Mínima Partición en Caminos. Teorema de Dilworth
Grafos	Flujo y derivados	Flujo de costo minimo.
Grafos	Flujo y derivados	Vertex cover / Independent set en grafo bipartito
Grafos	DAGs	Ordenamiento Topologico
Grafos	DAGs	Clausura transitiva (aplica a cualquier grafo pero es muy común en DAGs)
Grafos	DAGs	Componentes Biconexas (Puntos de articulación, puentes)
Grafos	DAGs	Componentes Fuertemente Conexas
Grafos	DAGs	Camino/Ciclo euleriano
Grafos	Árboles	Detección,recorrido.
Grafos	Árboles	Representación de arbol con raiz: Padre de cada nodo
Grafos	Árboles	"Representación de arbol con raiz:Lista de adyacencia del dirigido ""bajando desde la raíz""."
Grafos	Árboles	Radio, centro y diámetro de un árbol en tiempo lineal.
Grafos	Grafos planares	Fórmula de Euler
Grafos	Grafos planares	Los grafos planares son ralos
Grafos	Grafos planares	Dualidad
Grafos	Grafos planares	Construir Grafo dual de un grafo planar (dado el embedding)
Grafos	Grafos planares	Max-clique en grafo planar
Análisis de complejidad		"Entendimiento de la notacion asintotica (La O grande de ""O(N)"")"
Análisis de complejidad		Analisis amortizado de complejidad
Análisis de complejidad		Nocion de P, NP, NP completo, algoritmo polinomial, etc
Análisis de complejidad		Problemas NP completos conocidos (Camino hamiltoniano, TSP, Maximum independent set, Minimum dominating set, subset sum, etc.)
Análisis de complejidad		Problemas que no se sabe que sean P ni NP completo (Factorización entera, logaritmo discreto, isomorfismo de grafos)
Ordenamiento		Busqueda lineal y busqueda binaria (con LA RECETA)
Ordenamiento		Counting Sort
Ordenamiento		MergeSort
Ordenamiento		QuickSort
Ordenamiento		Mediana (o elemento iesimo) en tiempo lineal esperado (n\_th element)
Ordenamiento		HeapSort
Ordenamiento		BubbleSort
Ordenamiento		InsertionSort
Ordenamiento		RadixSort
Estructuras de datos		Arreglos
Estructuras de datos		STL (set, multiset, map, multimap, vector, queue, stack, deque, priority\_queue, list, etc)
Estructuras de datos		Policy based data structures de GCC (en especial indexed\_set)
Estructuras de datos		Listas enlazadas
Estructuras de datos		Colas
Estructuras de datos		Pilas
Estructuras de datos		Tries
Estructuras de datos		Hashing
Estructuras de datos		Tablas Aditivas (prefix sums)
Estructuras de datos		Binary Index Tree (Fenwick Tree)
Estructuras de datos		Árbol binario de búsqueda
Estructuras de datos		ABB balanceado (por ej, Treap)
Estructuras de datos		Heap (para priority queue), heapsort, heapify en O(N)
Estructuras de datos		Union Find (Implementacion con listas y con arbol)
Estructuras de datos		RMQ (Segment tree sobre arreglo)
Estructuras de datos		Sliding Windows, Sliding-RMQ (para en O(N) calcular el RMQ de subarreglos de un tamaño K dado)
Estructuras de datos		Binary lifting en árbol con raíz
Estructuras de datos		LCA en O(lg n) mediante Euler Tour + RMQ
Estructuras de datos		LCA en O(lg n) mediante binary lifting
Estructuras de datos		Distancias en un arbol en O(log N) con LCA
Estructuras de datos		Estructuras de datos persistentes (con path copying)
Estructuras de datos		RMQ/Fenwick 2D
Estructuras de datos		Heavy Light Decomposition
Estructuras de datos		Estructuras de datos para arboles dinamicos (link-cut trees)
Estructuras de datos		Principio small-to-large
Algoritmos con sqrt()		sqrt-decomposition: Separar la secuencia del input en bloques de sqrt(N)
Algoritmos con sqrt()		Algoritmo de MO: separar queries por posicion inicial en bloques de sqrt(N)
Algoritmos con sqrt()		Combinar dos algoritmos O(nk) y O(n^2/k)
Algoritmos con sqrt()		Agrupar updates en bloques de sqrt(U), hacer queries iterando por las updates dentro de cada bloque
Algoritmos con sqrt()		Hay <= sqrt(N) elementos que aparecen >= sqrt(N) veces
Algoritmos con sqrt()		Si una suma es igual a N, hay <= sqrt(N) valores distintos
Strings		Knuth Morris Pratt (KMP), y su tablita de bordes.
Strings		Rabin-Karp, y uso del concepto de hash en general.
Strings		xor-hashing y sum-hashing con una tabla de números aleatorios
Strings		Suffix Array (Algoritmo de Larsson y Sadakane), LCP
Programacion Dinámica		Recursion (en matematica, en programacion, recursion mutua)
Programacion Dinámica		Maxima subsecuencia creciente (En O(n^2), y su variante en O(n lg n))
Programacion Dinámica		Cálculo del triangulo de pascal
Programacion Dinámica		Longest common subsequence
Programacion Dinámica		Edit distance mínima (La común, y permitiendo swaps adyacentes)
Programacion Dinámica		Producto de matrices con costo minimo
Programacion Dinámica		"""En una matriz yendo de una esquina a la otra solo bajando y para la derecha, maximizar la suma de las casillas visitadas."""
Programacion Dinámica		Knapsack (Problema de la mochila), Subset Sum
Programacion Dinámica		Dar vuelto usando una cantidad minima de monedas
Programacion Dinámica		Optimal Binary Search Tree en O(n^3) y O(n^2) (Knuth optimization)
Programacion Dinámica		Divide and conquer optimization
Programacion Dinámica		Dada una string par de {,(,[,],),} dar la minima cantidad de cambios necesarios para que sea valida.
Programacion Dinámica		Dinámicas con máscaras de bits: TSP y muchas otras.
Programacion Dinámica		"Dinámicas con ""frente"": Poner fichitas / tubitos en un tablero, y muchas otras"
Matemática		Punto flotante: Conocerlos, saber que existe el error, cuentitas basicas, uso de EPSILON en los if
